SCHNEIDER,12345678,3D072068G701,T,1000,09:12:34,#NA,09:12:48,CANCEL
BROTHER,xxx,D0000S001,Thường,111,09:11:30,09:12:50,09:12:50,OK
BROTHER,xxx,D0000S001,T,111,09:14:51,09:15:48,09:15:48,OK
BROTHER,xxx,D0000S001,T,111,09:28:08,#NA,09:28:12,CANCEL
BROTHER,xxx,D0000S001,Thường,111,10:45:42,10:45:59,10:45:59,OK
KYOCERA,1234567890,3V2M401015-02,Thường,200,12:49:15,#NA,12:49:18,CANCEL
DIGITAL,1234567890,PFX115782E,Thường,200,12:49:54,12:53:40,12:53:40,OK
BROTHER,1234567890,D000KM020,Thường,200,12:49:42,12:53:41,12:53:41,OK
KYOCERA,1234567890,3V2M401015-02,T,200,12:49:21,12:53:42,12:53:42,OK
SCHNEIDER,1234567890,3D072068G701,T,200,12:46:37,12:53:42,12:53:42,OK
SCHNEIDER,1234567890,3D072068G701,Thường,100,12:43:35,12:53:43,12:53:43,OK
SCHNEIDER,1234567890,3D072068G712REV01,Thường,200,13:31:47,#NA,13:32:44,CANCEL
BROTHER,xxx,D0000S001,Thường,111,15:23:14,15:23:21,15:23:21,OK
SCHNEIDER,1234567890,3D072068G701,Thường,200,15:29:16,#NA,15:29:21,CANCEL
