BROTHER,xx,D0000S001,Thường,11,08:18:05,#NA,08:18:06,CANCEL
BROTHER,xx,D0000S001,Thường,11,08:16:34,#NA,08:19:06,CANCEL
BROTHER,xx,D0000S001,Thường,11,08:16:34,#NA,08:19:09,CANCEL
KYOCERA,x,3V2L180033-10,Thường,1,09:20:54,09:22:12,09:22:12,OK
BROTHER,x,D0000S001,Thường,1,09:20:49,09:22:14,09:22:14,OK
BROTHER,x,D0000S001,Thường,1,09:19:58,09:22:15,09:22:15,OK
BROTHER,x,D0000S001,Thường,1,09:20:00,09:22:16,09:22:16,OK
BROTHER,x,D0000S001,Thường,1,09:20:09,09:22:18,09:22:18,OK
BROTHER,x,D0000S001,Thường,1,09:20:12,09:22:19,09:22:19,OK
BROTHER,x,D0000S001,Thường,1,09:20:14,09:22:20,09:22:20,OK
BROTHER,x,D0000S001,Thường,1,09:19:52,09:22:21,09:22:21,OK
BROTHER,x,D0000S001,Thường,1,09:19:49,09:22:23,09:22:23,OK
BROTHER,x,D0000S001,Thường,1,09:19:55,09:22:24,09:22:24,OK
BROTHER,x,D0000S001,Thường,1,09:19:47,09:22:26,09:22:26,OK
BROTHER,x,D0000S001,Thường,1,09:19:45,09:22:27,09:22:27,OK
BROTHER,x,D0000S001,Thường,1,09:19:43,09:22:28,09:22:28,OK
BROTHER,x,D0000S001,Thường,1,09:19:39,09:22:29,09:22:29,OK
BROTHER,x,D0000S001,Thường,1,09:19:36,09:22:30,09:22:30,OK
BROTHER,x,D0000S001,Thường,1,09:19:33,09:22:31,09:22:31,OK
BROTHER,x,D0000S001,Thường,1,09:19:29,09:22:32,09:22:32,OK
BROTHER,x,D0000S001,Thường,111,09:26:26,09:27:09,09:27:09,OK
KYOCERA,0972089889,3V2TW01010-03,Thường,500,10:52:33,#NA,10:53:16,CANCEL
SCHNEIDER,1234567890,3D072068G712REV01,Thường,100,12:47:52,13:08:50,13:08:50,OK
BROTHER,1234567890,D000VJ042,Thường,500,13:08:23,13:08:53,13:08:53,OK
KYOCERA,1234567890,3V2M601014-04,T,200,13:08:35,13:08:56,13:08:56,OK
BROTHER,xx,D0000S001,Thường,11,13:22:06,16:47:32,16:47:32,OK
BROTHER,xx,D0000S001,Thường,11,13:22:13,16:47:32,16:47:32,OK
